Date,Latitude,Longitude,State/UnionTerritory,Confirmed,Cured,Deaths
2021-07-15,11.7401,92.6586,Andaman and Nicobar Islands,11,7359,129
2021-07-15,15.9129,79.74,Andhra Pradesh,25957,1890565,13057
2021-07-15,28.218,94.7278,Arunachal Pradesh,4181,36903,195
2021-07-15,26.2006,92.9376,Assam,21000,514543,4910
2021-07-15,25.0961,85.3131,Bihar,786,713163,9621
2021-07-15,30.7333,76.7794,Chandigarh,72,60970,809
2021-07-15,21.2787,81.8661,Chhattisgarh,4028,981303,13486
2021-07-15,20.397373,20.397373,Dadra and Nagar Haveli and Daman and Diu,22,10565,4
2021-07-15,28.7041,77.1025,Delhi,688,1409572,25021
2021-07-15,15.2993,74.124,Goa,1788,164326,3101
2021-07-15,22.2587,71.1924,Gujarat,689,813583,10074
2021-07-15,29.0588,76.0856,Haryana,854,758958,9571
2021-07-15,31.1048,77.1734,Himachal Pradesh,1191,199272,3499
2021-07-15,33.7782,76.5762,Jammu and Kashmir,2236,312556,4360
2021-07-15,23.6102,85.2799,Jharkhand,344,341015,5120
2021-07-15,15.3173,75.7139,Karnataka,33665,2806933,35989
2021-07-15,10.8505,76.2711,Kerala,118197,2970175,14938
2021-07-15,34.2996,78.2932,Ladakh,113,19912,206
2021-07-15,,,Lakshadweep,96,9891,49
2021-07-15,22.9734,78.6569,Madhya Pradesh,271,780815,10508
2021-07-15,19.7515,75.7139,Maharashtra,110056,5944801,126390
2021-07-15,24.6637,93.9063,Manipur,8210,70985,1326
2021-07-15,25.467,91.3662,Meghalaya,3925,50794,921
2021-07-15,23.1645,92.9376,Mizoram,5373,20262,116
2021-07-15,26.1584,94.5624,Nagaland,1017,24716,516
2021-07-15,20.9517,85.0985,Odisha,20308,920646,4795
2021-07-15,11.9416,79.8083,Puducherry,1327,116203,1772
2021-07-15,31.1471,75.3412,Punjab,1386,580336,16207
2021-07-15,27.0238,74.2179,Rajasthan,558,943719,8947
2021-07-15,27.533,88.5122,Sikkim,2279,20196,317
2021-07-15,11.1271,78.6569,Tamil Nadu,30600,2462244,33557
2021-07-15,,,Telangana,10203,619949,3743
2021-07-15,23.9408,91.9882,Tripura,4624,67020,721
2021-07-15,30.0668,79.0193,Uttarakhand,711,333244,7352
2021-07-15,26.8467,80.9462,Uttar Pradesh,1428,1683453,22704
2021-07-15,22.9868,87.855,West Bengal,13847,1482903,17958
